ID,業種,カテゴリー,ユーザーの悩み（入口語彙）,揺らぎ表現（例）,緊急度,ビジュアル解決要否
FT-078,フィンテック,ふるさと納税,控除の手続き,ワンストップ特例の連携,低,不要
FT-079,フィンテック,マイナポイント,どこで受け取れるか,連携済みの確認,低,不要
FT-080,フィンテック,休止,一時的にアカウントを止めたい,海外に行くので,低,不要
FT-081,フィンテック,機種変更,アプリの移行はどうすればいいか,引き継ぎコード,中,必要（動画）
FT-082,フィンテック,メールアドレス,キャリアメールを変えた,認証メールが届かない,中,不要
FT-083,フィンテック,電話番号,番号が変わった,二段階認証の変更,高,不要
FT-084,フィンテック,結婚,氏名変更の手続き,戸籍謄本は必要？,低,不要
FT-085,フィンテック,離婚,名義を戻したい,財産分与の相談,中,不要
FT-086,フィンテック,窓口,店舗に行けば解決するか,対面での相談・予約,低,不要
FT-087,フィンテック,ビデオ通話,本人確認のオペレーターと話したい,映像が止まる,中,必要（動画）
FT-088,フィンテック,領収書,決済の証明書が欲しい,PDFでの発行,低,必要（画像）
FT-089,フィンテック,返金,返品したのに返金されない,キャンセルデータの反映待ち,中,不要
FT-090,フィンテック,保留,身に覚えのない保留金がある,ホールド・ホテルなどのデポジット,中,不要
FT-091,フィンテック,差し押さえ,口座が使えない理由を知りたい,裁判所からの通知,最高,不要
FT-092,フィンテック,マネロン,取引目的を確認するメールが来た,定期的な確認・怪しい取引,高,不要
FT-093,フィンテック,ビットコイン決済,店舗でQRコードが読み取れない,ネットワーク混雑・承認待ち,中,必要（動画）
FT-094,フィンテック,ステーブルコイン,USDTを入金したい,対応チェーン・最小額,中,不要
FT-095,フィンテック,ハードフォーク,分裂したコインはどうなるか,配布予定,低,不要
FT-096,フィンテック,レンディング,貸し出した資産を返してほしい,解約・返却期間,中,不要
FT-097,フィンテック,レバレッジ,追証が発生した,証拠金の追加・ロスカット,最高,不要
FT-098,フィンテック,デモ取引,練習したい,テストネット・デモ口座,低,不要
FT-099,フィンテック,教育,投資の勉強をしたい,初心者ガイド・動画コンテンツ,低,必要（動画）
FT-100,フィンテック,不具合,操作中に画面が真っ白になった,バグ報告・リロードしても直らない,中,不要
OM-101,オンライン診療,予約,予約の取り方がわからない,使い方が不明・操作方法,中,必要（動画）
OM-102,オンライン診療,症状,急に熱が出た,発熱・苦しい,最高,不要
OM-103,オンライン診療,処方箋,薬が届かない,配送状況を知りたい・処方ミス？,高,不要
OM-104,オンライン診療,通信トラブル,ビデオ通話がつながらない,画面が真っ暗・声が聞こえない,最高,必要（動画）
OM-105,オンライン診療,支払い,保険証の登録ができない,カード決済エラー・金額が違う,中,必要（画像）
OM-106,オンライン診療,再診,いつもの薬が欲しい,リピート・継続処方,低,不要
OM-107,オンライン診療,副作用,薬を飲んで湿疹が出た,体調が悪くなった・飲み合わせ,最高,不要
OM-108,オンライン診療,紹介状,大きな病院へ行きたい,紹介状を書いて・専門医へ,中,不要
OM-109,オンライン診療,家族利用,子供の診察をしたい,代理予約・小児科,中,不要
OM-110,オンライン診療,診断書,会社に出す証明書が欲しい,診断書の発行・PDFで送って,低,不要
OM-111,オンライン診療,待ち時間,予約時間になっても繋がらない,先生が来ない・遅れている,高,不要
OM-112,オンライン診療,保険証,有効期限が切れていると言われた,更新忘れ・マイナ保険証,中,不要
OM-113,オンライン診療,検査,PCR検査を受けたい,郵送検査キット・結果はいつ？,中,不要
OM-114,オンライン診療,特定健診,健康診断の結果を見たい,データ連携・数値の意味,低,不要
OM-115,オンライン診療,ワクワク,予防接種の予約,インフルエンザ・料金,低,不要
OM-116,オンライン診療,ダイエット,肥満外来について,GLP-1・自費診療,低,不要
OM-117,オンライン診療,AGA,薄毛の相談,オンライン処方・プライバシー,低,不要
OM-118,オンライン診療,ピル,避妊薬が欲しい,アフターピル・緊急,最高,不要
OM-119,オンライン診療,メンタルヘルスの相談,眠れない・不安,精神科・カウンセリング,高,不要
OM-120,オンライン診療,アレルギー,花粉症の薬が欲しい,以前と同じもの・舌下免疫療法,低,不要
OM-121,オンライン診療,小児科,夜泣きがひどい,育児相談・ミルクを飲まない,中,不要
OM-122,オンライン診療,皮膚科,ニキビが治らない,塗り薬・写真診断,中,必要（画像）
OM-123,オンライン診療,眼科,目が充血している,目薬・コンタクトの処方,中,不要
OM-124,オンライン診療,耳鼻科,耳が痛い,中耳炎・聞こえにくい,中,不要
OM-125,オンライン診療,歯科,歯が痛い,応急処置・近くの歯医者を紹介して,高,不要
OM-126,オンライン診療,セカンドオピニオン,他院の診断に納得がいかない,意見を聞きたい,中,不要
OM-127,オンライン診療,漢方,体質に合った漢方が欲しい,東洋医学・煎じ薬,低,不要
OM-128,オンライン診療,禁煙外来,タバコをやめたい,チャンピックス・ニコチンパッチ,低,不要
OM-129,オンライン診療,リハビリ,ストレッチの方法を知りたい,動画での指導,低,必要（動画）
OM-130,オンライン診療,介護,家族の介護相談,ケアマネジャー・福祉用具,中,不要
OM-131,オンライン診療,医療費控除,領収書をまとめて欲しい,確定申告用・アプリからダウンロード,低,必要（画像）
OM-132,オンライン診療,生活習慣病,血圧が高い,食事療法・運動指導,低,不要
OM-133,オンライン診療,高血圧,降圧剤の副作用,ふらつき・立ちくらみ,高,不要
OM-134,オンライン診療,糖尿病,インスリンの打ち方,自己注射の指導,高,必要（動画）
OM-135,オンライン診療,喘息,吸入器の使い方がわからない,正しく吸えているか,高,必要（動画）
OM-136,オンライン診療,怪我,包帯の巻き方,応急処置・傷口の写真,中,必要（動画）
OM-137,オンライン診療,インフルエンザ,出席停止期間はいつまでか,登校許可証,中,不要
OM-138,オンライン診療,更年期障害,ホットフラッシュが辛い,ホルモン療法・漢方,中,不要
OM-139,オンライン診療,不妊治療,タイミング法の相談,検査薬の使い方,中,不要
OM-140,オンライン診療,妊娠中,つわりがひどい,薬を飲んでも大丈夫か,高,不要
OM-141,オンライン診療,授乳中,葛根湯を飲んでもいいか,母乳への影響,高,不要
OM-142,オンライン診療,生理痛,月経困難症の相談,低用量ピル・鎮痛剤,中,不要
OM-143,オンライン診療,性病,匿名で診察したい,検査キットの配送,高,不要
OM-144,オンライン診療,ED,男性の悩み,バイアグラの処方,低,不要
OM-145,オンライン診療,睡眠薬,依存性が怖い,ベルソムラ・デエビゴ,中,不要
OM-146,オンライン診療,抗生物質,飲み忘れた,途中でやめていいか,高,不要
OM-147,オンライン診療,塗り薬,ステロイドの使い方,副作用・塗る量,中,必要（画像）
OM-148,オンライン診療,湿布,かぶれた,剥がしたほうがいいか,中,不要
OM-149,オンライン診療,健康診断,尿検査で引っかかった,二次検査の予約,中,不要
OM-150,オンライン診療,がん相談,検診の結果を聞きたい,緩和ケア・家族の相談,高,不要
OM-151,オンライン診療,ビデオ通話許可,マイクの設定がわからない,iPhoneの許可設定,中,必要（動画）
OM-152,オンライン診療,通知設定,診察開始の通知が来ない,プッシュ通知のオン・オフ,低,必要（画像）
OM-153,オンライン診療,保険適用,自由診療との違い,値段を知りたい,低,不要
OM-154,オンライン診療,処方箋送信,薬局に処方箋を送りたい,FAX送信・電子処方箋,中,不要
OM-155,オンライン診療,薬局指定,家の近くの薬局で受け取りたい,地図から選択,低,必要（画像）
OM-156,オンライン診療,配送先変更,職場に薬を届けてほしい,住所の追加,低,不要
OM-157,オンライン診療,不在連絡,薬を受け取れなかった,再配達の手続き,低,不要
OM-158,オンライン診療,有効期限,処方箋の期限が切れた,再発行は可能か,中,不要
OM-159,オンライン診療,診察キャンセル,急用で受けられなくなった,キャンセル料はかかる？,中,不要
OM-160,オンライン診療,遅刻,5分遅れそう,診察してもらえるか,中,不要
OM-161,オンライン診療,再ログイン,ログアウトしてしまった,パスワード再設定,中,不要
OM-162,オンライン診療,アカウント統合,二つアカウントを作ってしまった,データの移行,低,不要
OM-163,オンライン診療,領収書発行,メールで届かない,アプリ内のどこにある？,低,必要（画像）
OM-164,オンライン診療,海外からの利用,旅行中に診察を受けたい,時差・現地の薬,高,不要
OM-165,オンライン診療,英語対応,English consultation,通訳はいるか,中,不要
OM-166,オンライン診療,匿名性,家族に知られたくない,梱包に中身を書かないでほしい,低,不要
OM-167,オンライン診療,薬の変更,以前の薬が合わなかった,別の種類を試したい,中,不要
OM-168,オンライン診療,長期処方,90日分まとめて欲しい,海外赴任・出張,中,不要
OM-169,オンライン診療,公費負担,子供の医療費助成が使えるか,受給者証の登録,中,必要（画像）
OM-170,オンライン診療,難病指定,手続きの相談,診断書の書き方,中,不要
OM-171,オンライン診療,インスリン,針の捨て方,医療廃棄物の回収,中,不要
OM-172,オンライン診療,血圧計連携,オムロンのデータを入れたい,Bluetooth連携,低,必要（動画）
OM-173,オンライン診療,Apple Health,歩数データが同期されない,ヘルスケア連携,低,必要（動画）
OM-174,オンライン診療,睡眠データ,スマートリングのデータを見せたい,解析結果の共有,低,不要
OM-175,オンライン診療,食事写真,管理栄養士の指導を受けたい,食事の撮影・アップロード,低,必要（画像）
OM-176,オンライン診療,筋肉痛,湿布でいいか,肉離れ・骨折の疑い,中,不要
OM-177,オンライン診療,腰痛,ぎっくり腰になった,動けない・安静の仕方,高,不要
OM-178,オンライン診療,頭痛,いつもの偏頭痛,薬が効かない・吐き気,最高,不要
OM-179,オンライン診療,腹痛,食あたり・下痢,ノロウイルス・水分補給,高,不要
OM-180,オンライン診療,便秘,3日間出ていない,市販薬との飲み合わせ,中,不要
OM-181,オンライン診療,吐き気,つわりか胃腸炎か,嘔吐した,高,不要
OM-182,オンライン診療,めまい,天井が回る,メニエール・耳鳴り,高,不要
OM-183,オンライン診療,動悸,胸がドキドキする,不整脈・パニック障害,最高,不要
OM-184,オンライン診療,痺れ,手足がしびれる,脳梗塞の疑い・チェック項目,最高,不要
OM-185,オンライン診療,痒み,全身に蕁麻疹,アレルギー反応,高,不要
OM-186,オンライン診療,喉の痛み,声が出ない,扁桃腺の腫れ,中,不要
OM-187,オンライン診療,鼻水,蓄膿症・副鼻腔炎,鼻うがいの方法,低,必要（動画）
OM-188,オンライン診療,咳,1ヶ月止まらない,咳喘息・マイコプラズマ,高,不要
OM-189,オンライン診療,浮腫,足がパンパン,心不全・腎臓の心配,中,不要
OM-190,オンライン診療,倦怠感,体がだるい,コロナの後遺症・鬱,中,不要
OM-191,オンライン診療,医療ミス疑い,診断に疑問がある,別の先生と話したい,高,不要
OM-192,オンライン診療,プライバシーポリシー,データの取り扱いについて,どこまで保存されるか,低,不要
OM-193,オンライン診療,利用規約,同意してしまったが取り消したい,解約条件,低,不要
OM-194,オンライン診療,アップデート,アプリの最新版にしたい,AppStoreへ飛ばない,低,不要
OM-195,オンライン診療,プッシュ通知,診察5分前の通知設定,リマインダー,低,不要
OM-196,オンライン診療,診察代金,いつ引き落とされるか,クレジットカードの明細,低,不要
OM-197,オンライン診療,PayPay払い,コード決済を使いたい,連携エラー,中,不要
OM-198,オンライン診療,領収書再発行,紛失した,再ダウンロード可能か,低,不要
OM-199,オンライン診療,会員登録,メールが届かない,迷惑メールフォルダを確認した,中,不要
OM-200,オンライン診療,退会方法,データを完全に消してほしい,再登録の制限,低,不要
SH-201,スマート家電,接続,Wi-Fiに繋がらない,ペアリング失敗・オフライン,高,必要（動画）
SH-202,スマート家電,初期設定,箱を開けて何をすればいい？,セットアップ・電源が入らない,中,必要（動画）
SH-203,スマート家電,連携,アレクサで動かない,音声操作できない・連携解除,中,必要（動画）
SH-204,スマート家電,故障,異音がする,変な音がする・焦げ臭い,最高,必要（画像）
SH-205,スマート家電,アプデ,ファームウェア更新に失敗した,ぐるぐる回ったまま・文鎮化,高,必要（動画）
SH-206,スマート家電,掃除,フィルターの掃除方法は？,お手入れ・ランプが点滅,低,必要（動画）
SH-207,スマート家電,自動化,ルーチンが動かない,決まった時間に点かない・設定ミス,低,不要
SH-208,スマート家電,電池,リモコンの電池が切れた,反応しない・種類を教えて,低,不要
SH-209,スマート家電,譲渡,メルカリで売りたい,初期化・個人情報の削除,低,必要（動画）
SH-210,スマート家電,購入検討,今の部屋に設置できるか,サイズ感・工事は必要？,低,必要（画像）
SH-211,スマート家電,音声操作,Google Homeが認識しない,呼びかけに反応しない,中,必要（動画）
SH-212,スマート家電,照明,電球の色を変えたい,調光の設定・シーン作成,低,必要（動画）
SH-213,スマート家電,エアコン,外出先から操作できない,サーバーエラー・遠隔操作の許可,高,必要（画像）
SH-214,スマート家電,冷蔵庫,ドアが開いていると通知が来る,センサーの誤作動・半開き,中,不要
SH-215,スマート家電,洗濯機,終了通知が来ない,Wi-Fiが届いていない,中,不要
SH-216,スマート家電,ロボット掃除機,段差で止まる,進入禁止エリアの設定,中,必要（動画）
SH-217,スマート家電,テレビ,YouTubeが見られない,ネットワークエラー・再起動,中,不要
SH-218,スマート家電,カメラ,映像が映らない,レンズの汚れ・夜間モード,高,必要（動画）
SH-219,スマート家電,ドアロック,鍵が開かない,スマートロックの電池切れ・物理キーが必要か,最高,必要（動画）
SH-220,スマート家電,プラグ,通電していない,過負荷・リセットボタン,高,不要
SH-221,スマート家電,センサー,人感センサーが反応しすぎ,感度の調整,低,必要（画像）
SH-222,スマート家電,ハブ,複数のデバイスが一度に消えた,親機の故障・リブート,高,不要
SH-223,スマート家電,Apple HomeKit,Siriで操作できない,連携設定・ホームアプリ,中,必要（動画）
SH-224,スマート家電,IFTTT,他のアプリと連携させたい,アプレットの作成,低,不要
SH-225,スマート家電,省エネ,電気代を確認したい,電力消費グラフの見方,低,必要（画像）
SH-226,スマート家電,温度計,湿度が正確ではない気がする,キャリブレーション,低,不要
SH-227,スマート家電,加湿器,水を入れたのに「給水」が出る,センサーの清掃,中,必要（動画）
SH-228,スマート家電,空気清浄機,ずっと「赤」のまま,PM2.5・ガスセンサーの異常,中,不要
SH-229,スマート家電,炊飯器,予約したのに炊けていない,時計の設定ミス,高,不要
SH-230,スマート家電,電子レンジ,庫内のライトが切れた,交換方法・修理,低,不要
SH-231,スマート家電,Bluetooth,スピーカーと繋がらない,ペアリングモード・検索されない,中,必要（動画）
SH-232,スマート家電,オーディオ,音が小さい,音量制限の設定,低,不要
SH-233,スマート家電,カーテン,朝自動で開かない,モーターの故障・巻き込み,中,必要（動画）
SH-234,スマート家電,ペットカメラ,動体検知が多すぎる,ペットのみ検知する設定,低,必要（画像）
SH-235,スマート家電,自動給餌器,餌が出ていない,詰まりの解消・空回りの音,高,必要（動画）
SH-236,スマート家電,浄水器,カートリッジの交換時期,リセット方法がわからない,低,必要（動画）
SH-237,スマート家電,給湯器,お風呂が沸いた通知,お湯の温度設定,中,不要
SH-238,スマート家電,電気ケトル,お湯が沸かない,ベースの接触不良,高,不要
SH-239,スマート家電,トースター,パンが焦げる,センサーの汚れ,中,不要
SH-240,スマート家電,食洗機,水漏れしている,パッキンの摩耗・排水口の詰まり,最高,必要（画像）
SH-241,スマート家電,Wi-Fi周波数,2.4GHzしか対応していない,ルーターの設定変更,高,必要（動画）
SH-242,スマート家電,SSID,ネットワーク名が出てこない,ステルスモードの設定,中,不要
SH-243,スマート家電,パスワード,ルーターのパスワードが不明,暗号化キー・WPA2,中,不要
SH-244,スマート家電,MACアドレス,MACアドレスフィルタリング,デバイス情報の確認方法,中,必要（画像）
SH-245,スマート家電,DHCP,IPアドレスの競合,固定IPの設定,中,不要
SH-246,スマート家電,メッシュWi-Fi,子機との接続が切れる,設置場所のアドバイス,中,不要
SH-247,スマート家電,中継器,電波が届かない,2階の部屋で使いたい,低,不要
SH-248,スマート家電,速度制限,動画がカクカクする,帯域の確認,低,不要
SH-249,スマート家電,クラウド録画,保存期間の確認,有料プランの申し込み,低,不要
SH-250,スマート家電,ローカル保存,SDカードが認識されない,フォーマットが必要か,中,必要（動画）
SH-251,スマート家電,アプリ不具合,アイコンが消えた,再インストール,低,不要
SH-252,スマート家電,通知遅延,ドアが開いてから5分後に通知が来る,遅延の解消,高,不要
SH-253,スマート家電,複数端末,家族のスマホからも操作したい,招待メール・共有設定,低,必要（動画）
SH-254,スマート家電,権限設定,子供には操作させたくない,ユーザー権限の制限,低,不要
SH-255,スマート家電,ログ確認,誰がいつ操作したか見たい,アクティビティ履歴,低,不要
SH-256,スマート家電,位置情報,家に着いたら電気をつけたい,ジオフェンスの設定,低,必要（動画）
SH-257,スマート家電,ショートカット,ウィジェットを置きたい,ワンタップ操作,低,必要（動画）
SH-258,スマート家電,ダークモード,画面が見にくい,外観の設定変更,低,不要
SH-259,スマート家電,多言語,中国語になってしまった,言語設定を日本語に戻したい,中,必要（画像）
SH-260,スマート家電,アクセシビリティ,読み上げ機能を使いたい,視覚障がい者向けのサポート,低,不要
SH-261,スマート家電,修理受付,保証期間内か確認したい,購入明細のアップロード,中,必要（画像）
SH-262,スマート家電,延長保証,あとから加入できるか,プランの変更,低,不要
SH-263,スマート家電,返品,思ったより大きかった,キャンセル規定,低,不要
SH-264,スマート家電,交換,初期不良の判断基準,新品と交換してほしい,高,不要
SH-265,スマート家電,付属品不足,ACアダプタが入っていない,欠品の報告,中,不要
SH-266,スマート家電,説明書,PDF版が欲しい,ダウンロードURL,低,不要
SH-267,スマート家電,シリアル番号,本体のどこに書いてあるか,底面・背面・バーコード,中,必要（画像）
SH-268,スマート家電,リサイクル,古い家電を引き取ってほしい,家電リサイクル法,低,不要
SH-269,スマート家電,設置サービス,業者に来てほしい,出張サポートの予約,低,不要
SH-270,スマート家電,見積もり,修理代金が高すぎる,買い替えの相談,低,不要
SH-271,スマート家電,騒音,夜間に動かないようにしたい,お休みモードの設定,低,不要
SH-272,スマート家電,明るさ,LEDが眩しすぎる,表示OFFの設定,低,不要
SH-273,スマート家電,電力不足,ブレーカーが落ちた,ワット数の確認,高,不要
SH-274,スマート家電,雷対策,停電後に動かなくなった,サージ保護・復帰方法,高,不要
SH-275,スマート家電,耐用年数,何年くらい使えるか,寿命の目安,低,不要
SH-276,スマート家電,防水,お風呂で使っていいか,IPXコードの意味,中,不要
SH-277,スマート家電,耐熱,コンロの近くに置けるか,火事の心配,高,不要
SH-278,スマート家電,子供の安全,チャイルドロックの解除,誤操作防止,中,必要（動画）
SH-279,スマート家電,ペットの安全,コードを噛まないような対策,保護カバー,低,不要
SH-280,スマート家電,ウイルス対策,ハッキングが怖い,セキュリティアップデート,高,不要
SH-281,スマート家電,アカウント乗っ取り,勝手に電気がついた,パスワード変更・2要素認証,最高,必要（動画）
SH-282,スマート家電,プライバシー,家の中の声が録音されているか,マイクのミュート物理スイッチ,中,必要（画像）
SH-283,スマート家電,データ削除,アプリを消せばデータも消えるか,サーバー上の情報の消去,低,不要
SH-284,スマート家電,中古購入,前の持ち主の設定が残っている,解除方法,中,不要
SH-285,スマート家電,展示品,デモモードの解除,店頭用設定,中,必要（動画）
SH-286,スマート家電,海外版,海外の電圧で使えるか,変圧器の要否,中,不要
SH-287,スマート家電,アプリ連携,Apple Watchで操作したい,コンプリケーションの設定,低,必要（動画）
SH-288,スマート家電,TV連携,テレビの画面に通知を出したい,ポップアップ設定,低,不要
SH-289,スマート家電,在庫確認,替えのフィルターがどこにも売っていない,公式ストアの在庫,低,不要
SH-290,スマート家電,新型,新製品との違い,スペック比較,低,不要
SH-291,スマート家電,コミュニティ,他の人の設定例を見たい,ユーザーフォーラム,低,不要
SH-292,スマート家電,要望,こういう機能を追加してほしい,フィードバック送信,低,不要
SH-293,スマート家電,アンケート,謝礼のポイントはいつ来るか,回答済みか確認,低,不要
SH-294,スマート家電,誤検知,強風で窓センサーが反応する,閾値の変更,中,不要
SH-295,スマート家電,通信容量,1ヶ月でどのくらい通信するか,ギガ消費の確認,低,不要
SH-296,スマート家電,オフライン利用,ネットがなくてもリモコンは使えるか,赤外線操作,中,不要
SH-297,スマート家電,複数拠点,実家の家電も管理したい,場所の追加設定,低,必要（動画）
SH-298,スマート家電,共有リンク,一時的にゲストに操作権を与えたい,QRコード共有,中,必要（動画）
SH-299,スマート家電,API公開,自作アプリから操作したい,デベロッパー登録,低,不要
SH-300,スマート家電,不具合報告,再現性のあるバグを見つけた,動画を添付して送りたい,中,必要（動画）
